Ciutat;Poblacio;Superficie;Densitat;Rang;Latitud;Longitud
Barcelona;1.608.746;101,4;15.873,20;1;41,385064;2,173403
Hospitalet de Llobregat, l';254.804;12,4;20.548,70;2;41,366186;2,116494
Badalona;215.634;21,2;10.181,00;3;41,446988;2,245032
Terrassa;215.121;70,2;3.066,20;4;41,563211;2,008875
Sabadell;208.246;37,8;5.510,60;5;41,546275;2,108613
Lleida;138.144;212,3;650,7;6;41,617590;0,620015
Tarragona;131.094;57,9;2.264,90;7;41,118883;1,244491
Mataró;125.517;22,5;5.571,10;8;41,538112;2,444741
Santa Coloma de Gramenet;117.153;7;16.736,10;9;41,444588;2,210322
Reus;103.615;52,8;1.961,70;10;41,149826;1,105532
